CÓDIGO PRESA	CODIGO PRESA EXTRAIDO	CODIGO ACTIVIDAD	CODIGO ACTIVIDAD EXTRAIDO	NOMBRE ACTIVIDAD	MANTENIMIENTO	PERIOCIDAD	PERSONAL	TIPO_EQUIPO	OkEliminar
CHG.E58 - ADM - EXT - EXT21	CHG.E58	CHG.E58 - ADM - EXT - EXT21	 ADM - EXT - EXT21	 EXTINTOR DE 3 KG POLVO ABC CASA ADMINISTRACIÓN	RETIMBRADO	09_QUINQUENAL	EE	EXTINTOR	OK
CHG.E58 - ADM - ØØØ - FSP	CHG.E58	CHG.E58 - ADM - ØØØ - FSP	 ADM - ØØØ - FSP	FOSA SÉPTICA DEL POBLADO Y OFICINA DE LA PRESA	MANTENIMIENTO	07_ANUAL	EE	FOSA	OK
CHG.E58 - ADM - ILU - ILU	CHG.E58	CHG.E58 - ADM - ILU - ILU	 ADM - ILU - ILU	ILUMINACIÓN CASA DE ADMINISTRACIÓN	VISUAL	04_MENSUAL	PP	ILU	OK
CHG.E58 - ADM - OCV - EDF01	CHG.E58	CHG.E58 - ADM - OCV - EDF01	 ADM - OCV - EDF01	CASA DE ADMINISTRACIÓN 	VISUAL	02_SEMANAL	PP	CASA	OK
CHG.E58 - ADM - OCV - EDF01	CHG.E58	CHG.E58 - ADM - OCV - EDF01	 ADM - OCV - EDF01	CASA DE ADMINISTRACIÓN 	LIMPIEZA	05_TRIMESTRAL	PP	CASA	OK
CHG.E58 - ADM - OCV - EDF01	CHG.E58	CHG.E58 - ADM - OCV - EDF01	 ADM - OCV - EDF01	CASA DE ADMINISTRACIÓN 	PINTURA	08_TRIANUAL	PP	CASA	OK
CHG.E58 - ALI - ALI - ALI	CHG.E58	CHG.E58 - ALI - ALI - ALI	 ALI - ALI - ALI	ALIVIADERO DE LA PRESA DE LOS MELONARES	LIMPIEZA PALOMAS	07_ANUAL	PP	ALI	OK
CHG.E58 - ALI - ILU - ILU	CHG.E58	CHG.E58 - ALI - ILU - ILU	 ALI - ILU - ILU	ILUMINACIÓN DEL ALIVIADERO DE LA PRESA DE LOS MELONARES	VISUAL	05_TRIMESTRAL	PP	ILU	OK
CHG.E58 - CAB00 - EXT - EXT17	CHG.E58	CHG.E58 - CAB00 - EXT - EXT17	 CAB00 - EXT - EXT17	EXTINTOR DE 6 KG POLVO  ABC CÁMARA DE VÁLVULAS	REVISIÓN	07_ANUAL	EE	EXTINTOR	OK
CHG.E58 - CAB00 - EXT - EXT17	CHG.E58	CHG.E58 - CAB00 - EXT - EXT17	 CAB00 - EXT - EXT17	EXTINTOR DE 6 KG POLVO  ABC CÁMARA DE VÁLVULAS	RETIMBRADO	09_QUINQUENAL	EE	EXTINTOR	OK
